k	beta	beta_weighted	beta_anchor	gc_delta	anchor_lambda	array_mean_cpc	array_median_cpc	converged	rank	ncol	n
5	0.04307795	0.01212666	0.03668058	0.03735465	11.589578	12.006613	11.750000	1	76	76	32874
6	-0.01878653	-0.07021659	-0.00497633	0.03735465	11.582116	11.883017	11.684211	1	76	76	32874
7	-0.01423650	-0.02417825	0.01944966	0.03735465	11.651828	11.387110	11.500000	1	76	76	32874
8	-0.01313442	-0.03762408	0.00648639	0.03735465	11.625254	11.739479	11.684211	1	76	76	32874
9	-0.01321926	-0.05142248	0.00792125	0.03735465	11.541188	11.775350	11.702703	1	76	76	32874
10	0.04683047	0.00569579	0.07598430	0.03735465	11.548156	11.818962	11.711111	1	76	76	32874
11	-0.01808425	-0.06361887	0.03707797	0.03735465	11.669562	11.697384	11.711111	1	76	76	32874
12	0.04409510	0.03197933	0.01488431	0.03735465	11.594363	11.433869	11.500000	1	76	76	32874
13	-0.00286009	-0.01676643	0.02141446	0.03735465	11.642961	11.621897	11.638298	1	76	76	32874
14	-0.00550998	-0.04140404	0.03384203	0.03735465	11.576135	11.706778	11.619048	1	76	76	32874
15	-0.06163092	-0.03604990	-0.05612964	0.03735465	11.584378	11.850500	11.688889	1	76	76	32874
16	-0.04319544	-0.08422762	-0.04915739	0.03735465	11.496854	11.895578	11.911111	1	76	76	32874
17	-0.04896479	-0.08024135	-0.00972255	0.03735465	11.641791	11.613777	11.622222	1	76	76	32874
18	0.01416605	-0.05535501	0.06012403	0.03735465	11.559103	11.345159	11.540541	1	76	76	32874
19	-0.06358823	-0.10330588	-0.03607081	0.03735465	11.622211	11.572070	11.577778	1	76	76	32874
20	-0.02054133	-0.05319637	-0.00190156	0.03735465	11.663555	11.306745	11.631579	1	76	76	32874
21	-0.03796247	0.02471707	-0.10478729	0.03735465	11.564226	11.588878	11.657895	1	76	76	32874
22	-0.02580230	-0.04493008	0.01421349	0.03735465	11.741536	11.444242	11.500000	1	76	76	32874
23	-0.00725009	0.02347364	-0.01350600	0.03735465	11.731681	11.282871	11.500000	1	76	76	32874
24	-0.03083094	-0.04502818	-0.00307251	0.03735465	11.568932	11.594254	11.600000	1	76	76	32874
25	-0.01587295	-0.02799101	0.00036247	0.03735465	11.553045	11.522755	11.555556	1	76	76	32874
26	0.02332161	0.05803557	-0.00082285	0.03735465	11.438972	11.692354	11.777778	1	76	76	32874
27	-0.01578285	-0.00552583	-0.03590023	0.03735465	11.667975	11.381168	11.500000	1	76	76	32874
28	-0.01746632	-0.02252054	-0.00658170	0.03735465	11.653960	11.593882	11.523810	1	76	76	32874
29	-0.03440814	0.00454168	-0.06036744	0.03735465	11.527381	11.698309	11.711111	1	76	76	32874
30	0.03441176	0.03517344	0.03827193	0.03735465	11.636721	11.838963	11.657895	1	76	76	32874
31	-0.01239158	0.01843751	-0.01696172	0.03735465	11.703287	11.596679	11.500000	1	76	76	32874
32	0.02127447	-0.01217615	0.04837238	0.03735465	11.592699	11.807976	11.777778	1	76	76	32874
33	-0.00286673	-0.03577773	0.02366236	0.03735465	11.543450	11.854972	11.755556	1	76	76	32874
34	0.01677007	0.01691975	0.00803224	0.03735465	11.672058	11.456950	11.515152	1	76	76	32874
35	-0.01796958	-0.04334251	-0.01454043	0.03735465	11.659317	11.556687	11.550000	1	76	76	32874
36	0.02779140	-0.01059599	0.09092582	0.03735465	11.530891	11.956082	11.840909	1	76	76	32874
37	-0.03594838	-0.03053295	-0.03624628	0.03735465	11.543476	11.561987	11.605263	1	76	76	32874
38	0.03798660	0.04657137	0.02545126	0.03735465	11.651932	11.499060	11.545455	1	76	76	32874
39	0.01919393	0.04904397	0.01331358	0.03735465	11.648630	11.456827	11.500000	1	76	76	32874
40	-0.02552084	-0.05494434	-0.00313434	0.03735465	11.575875	11.657866	11.666667	1	76	76	32874
41	-0.00228904	0.02121100	-0.02308275	0.03735465	11.666259	11.479073	11.500000	1	76	76	32874
42	-0.01817190	0.00444318	-0.03878338	0.03735465	11.438530	12.002677	11.977778	1	76	76	32874
43	0.00717897	0.03693697	0.00437472	0.03735465	11.583442	11.411214	11.500000	1	76	76	32874
44	-0.02417475	0.05888703	-0.07190403	0.03735465	11.600655	11.463283	11.500000	1	76	76	32874
45	-0.02925222	-0.03627470	-0.02197581	0.03735465	11.634172	11.539860	11.568182	1	76	76	32874
46	-0.00530995	-0.06454908	0.08012403	0.03735465	11.585184	11.382035	11.600000	1	76	76	32874
47	-0.00249935	-0.05219873	-0.00183385	0.03735465	11.601175	11.882208	11.711111	1	76	76	32874
48	-0.03366752	-0.07687308	0.01450296	0.03735465	11.625696	11.329634	11.555556	1	76	76	32874
49	0.01574900	0.02889087	0.00614732	0.03735465	11.597717	11.588353	11.627907	1	76	76	32874
50	0.02607548	-0.01762470	0.05808977	0.03735465	11.637579	11.593135	11.577778	1	76	76	32874
51	0.04105050	0.04921686	0.01677911	0.03735465	11.630792	11.719387	11.583333	1	76	76	32874
52	0.03416464	0.03526228	0.05596905	0.03735465	11.657054	11.862622	11.723404	1	76	76	32874
53	-0.04852278	-0.05741537	-0.06190310	0.03735465	11.706433	11.858435	11.555556	1	76	76	32874
54	-0.00608023	-0.04545252	0.00172580	0.03735465	11.588148	11.675864	11.531915	1	76	76	32874
