sample	certified_best_edits	base_called_edits	cap_called_edits	cap_t0_called_edits	base_excess	cap_excess	cap_t0_excess	base_pair	cap_pair	cap_t0_pair	base_excess_units
HG00146	401	33858	33858	23096	33457	33457	22695	68,135	68,135	14,427	6.03
HG00344	157	16691	27747	22220	16534	27590	22063	71,432	71,80	80,115	2.98
HG00140	211	16713	16715	16715	16502	16504	16504	57,181	232,306	232,306	2.97
HG00350	45	11201	11201	11201	11156	11156	11156	16,105	16,105	16,105	2.01
HG00329	195	11274	11261	11261	11079	11066	11066	131,376	150,376	150,376	2.00
HG00321	74	5611	5611	5611	5537	5537	5537	26,376	26,376	26,376	1.00
HG00128	101	5591	5591	5591	5490	5490	5490	0,95	0,95	0,95	0.99
HG00099	138	5623	5623	5622	5485	5485	5484	2,25	2,25	25,213	0.99
HG00253	104	5554	5554	5554	5450	5450	5450	19,324	19,324	19,324	0.98
HG00320	137	5565	5565	5559	5428	5428	5422	18,424	18,424	18,419	0.98
HG00272	162	5571	5571	5571	5409	5409	5409	0,426	0,426	0,426	0.97
HG01167	471	5583	5583	5570	5112	5112	5099	71,141	71,141	71,123	0.92
HG00323	59	77	77	79	18	18	20	107,427	107,427	67,107	0.00
HG00126	25	29	29	29	4	4	4	85,432	85,432	85,432	0.00
HG00097	28	31	31	31	3	3	3	116,213	116,213	116,213	0.00
HG00290	26	26	26	26	0	0	0	268,431	268,431	268,431	0.00
HG00280	46	46	46	46	0	0	0	29,93	29,93	29,93	0.00
HG00235	14	14	14	14	0	0	0	18,106	18,106	18,106	0.00
HG00232	5	5	5	5	0	0	0	18,21	18,21	18,21	0.00
HG00133	143	143	143	143	0	0	0	120,435	120,435	120,435	0.00
