sample	certified_pair	reference_pair	excess_total_edits	mechanism	C_observed	present_shift	absent_shift	all_shift	interaction
HG00146	314,358	14,427	33457	dosage-split (hidden by diploid total)	-47.719438	-17.475184	0.000000	-17.475184	0.000e+00
HG00146	314,358	68,135	33457	dosage-split (hidden by diploid total)	-39.563410	-10.963129	1.490950	-9.472179	0.000e+00
HG00344	6,424	80,115	16534	total-dosage	-36.553875	-10.175734	0.000000	-10.175734	0.000e+00
HG00344	6,424	115,432	16534	total-dosage	-34.419278	-15.762929	0.000000	-15.762929	0.000e+00
HG00344	6,424	71,432	16534	total-dosage	-13.851579	-15.154262	0.000000	-15.154262	0.000e+00
HG00140	235,300	232,306	16502	mixed	-143.955278	1.217845	0.000000	1.217845	0.000e+00
HG00140	235,300	57,181	16502	mixed	-130.615007	-18.334149	0.000000	-18.334149	0.000e+00
HG00350	0,113	16,105	11156	dosage-split (hidden by diploid total)	-2.465894	7.280862	0.215813	7.496675	0.000e+00
HG00350	0,113	16,113	11156	dosage-split (hidden by diploid total)	1.117112	-7.655722	0.000000	-7.655722	0.000e+00
HG00329	25,438	150,376	11079	dosage-split (hidden by diploid total)	-88.829635	-0.193375	0.000000	-0.193375	0.000e+00
HG00329	25,438	131,376	11079	dosage-split (hidden by diploid total)	-37.700454	-2.255231	0.253474	-2.001757	4.657e-10
HG00321	26,79	26,376	5537	total-dosage	-13.070911	-1.752735	0.000000	-1.752735	0.000e+00
HG00128	0,196	0,95	5490	total-dosage	-35.434935	1.472915	-1.724199	-0.251284	0.000e+00
HG00099	2,213	25,213	5485	total-dosage	-58.156678	-10.351323	0.000000	-10.351323	0.000e+00
HG00099	2,213	2,25	5485	total-dosage	-57.290897	-10.132600	0.000000	-10.132600	0.000e+00
HG00253	19,313	19,324	5450	total-dosage	-109.180749	23.419564	0.000000	23.419564	0.000e+00
HG00320	18,429	18,419	5428	total-dosage	-3.990908	2.243882	0.000000	2.243882	0.000e+00
HG00320	18,429	18,424	5428	total-dosage	1.312819	1.348444	0.000000	1.348444	0.000e+00
HG00272	17,68	0,426	5409	total-dosage	-21.362317	-16.891724	0.000000	-16.891724	0.000e+00
HG01167	71,320	71,123	5112	total-dosage	-110.472975	18.030323	0.000000	18.030323	0.000e+00
HG01167	71,320	71,141	5112	total-dosage	-108.255369	17.812743	0.000000	17.812743	0.000e+00
HG00323	71,107	67,107	18	composition at correct dosage	-40.438587	4.901303	0.000000	4.901303	-2.328e-10
HG00323	71,107	107,427	18	composition at correct dosage	-40.365474	8.652962	0.000000	8.652962	0.000e+00
HG00126	36,85	85,432	4	composition at correct dosage	-39.105774	9.917295	0.000000	9.917295	0.000e+00
HG00097	16,213	116,213	3	composition at correct dosage	-25.046991	8.180791	0.000000	8.180791	0.000e+00
