sample	called_total_edits	best_total_edits	excess_total_edits	called_h1_lenerr	called_h2_lenerr	best_h1_lenerr	best_h2_lenerr	called_abs_len	best_abs_len	length_excess	nonlength_excess	called_nonlength	best_nonlength	h1_units	h2_units	diploid_units	mechanism
HG00146	33858	401	33457	16730	-16697	-1	-18	33427	19	33408	49	431	382	3.02	-3.01	0.01	dosage-split (hidden by diploid total)
HG00344	16691	157	16534	-16647	-12	-13	6	16659	19	16640	-106	32	138	-3.01	-0.00	-3.01	total-dosage
HG00140	16713	211	16502	-5564	11086	-15	5	16650	20	16630	-128	63	191	-1.00	2.00	1.00	mixed
HG00350	11201	45	11156	5546	-5557	-18	0	11103	18	11085	71	98	27	1.00	-1.00	-0.00	dosage-split (hidden by diploid total)
HG00329	11274	195	11079	-5534	5551	12	23	11085	35	11050	29	189	160	-1.00	1.00	0.00	dosage-split (hidden by diploid total)
HG00321	5611	74	5537	8	5557	8	7	5565	15	5550	-13	46	59	0.00	1.00	1.00	total-dosage
HG00128	5591	101	5490	5	-5552	5	-18	5557	23	5534	-44	34	78	0.00	-1.00	-1.00	total-dosage
HG00099	5623	138	5485	-3	5544	3	-2	5547	5	5542	-57	76	133	-0.00	1.00	1.00	total-dosage
HG00253	5554	104	5450	-5546	0	12	0	5546	12	5534	-84	8	92	-1.00	0.00	-1.00	total-dosage
HG00320	5565	137	5428	2	5552	2	7	5554	9	5545	-117	11	128	0.00	1.00	1.00	total-dosage
HG00272	5571	162	5409	-5557	0	5	0	5557	5	5552	-143	14	157	-1.00	0.00	-1.00	total-dosage
HG01167	5583	471	5112	-5527	0	-32	0	5527	32	5495	-383	56	439	-1.00	0.00	-1.00	total-dosage
HG00323	77	59	18	0	13	0	2	13	2	11	7	64	57	0.00	0.00	0.00	composition at correct dosage
HG00126	29	25	4	-18	1	-6	1	19	7	12	-8	10	18	-0.00	0.00	-0.00	composition at correct dosage
HG00097	31	28	3	6	1	6	-6	7	12	-5	8	24	16	0.00	0.00	0.00	composition at correct dosage
HG00290	26	26	0	0	4	0	4	4	4	0	0	22	22	0.00	0.00	0.00	composition at correct dosage
HG00280	46	46	0	0	-8	0	-8	8	8	0	0	38	38	0.00	-0.00	-0.00	composition at correct dosage
HG00235	14	14	0	2	-5	2	-5	7	7	0	0	7	7	0.00	-0.00	-0.00	composition at correct dosage
HG00232	5	5	0	-2	0	-2	0	2	2	0	0	3	3	-0.00	0.00	-0.00	composition at correct dosage
HG00133	143	143	0	12	-4	12	-4	16	16	0	0	127	127	0.00	-0.00	0.00	composition at correct dosage
