sample	certified_pair	excess_total_edits	mechanism	ctl_rank	nl_rank	obs_rank	nl_delta	obs_delta	nl_minus_obs	nl_called	obs_called
HG00146	314,358	33457	dosage-split (hidden by diploid total)	1	462	288	-65.1946	-47.7194	-17.4752	68,427	68,135
HG00344	6,424	16534	total-dosage	1	40	27	-50.1822	-36.5539	-13.6283	71,80	71,80
HG00140	235,300	16502	mixed	1	506	552	-148.9490	-143.9550	-4.9940	57,181	232,306
HG00350	0,113	11156	dosage-split (hidden by diploid total)	1	2	2	-6.5386	-2.4659	-4.0727	16,113	16,105
HG00329	25,438	11079	dosage-split (hidden by diploid total)	1	460	455	-89.0230	-88.8296	-0.1934	150,376	150,376
HG00321	26,79	5537	total-dosage	1	6	5	-14.8236	-13.0709	-1.7527	26,376	26,376
HG00128	0,196	5490	total-dosage	1	21	18	-35.6862	-35.4349	-0.2513	0,95	0,95
HG00099	2,213	5485	total-dosage	1	46	48	-68.5080	-58.1567	-10.3513	2,25	2,25
HG00253	19,313	5450	total-dosage	1	10	17	-85.7612	-109.1810	23.4198	19,324	19,324
HG00320	18,429	5428	total-dosage	1	2	3	-1.7470	-3.9909	2.2439	18,424	18,424
HG00272	17,68	5409	total-dosage	1	25	12	-38.2540	-21.3623	-16.8917	0,426	0,426
HG01167	71,320	5112	total-dosage	1	170	303	-92.4427	-110.4730	18.0303	71,141	71,141
HG00323	71,107	18	composition at correct dosage	1	7	12	-35.5373	-40.4386	4.9013	107,427	107,427
HG00126	36,85	4	composition at correct dosage	1	2	5	-29.1885	-39.1058	9.9173	85,432	85,432
HG00097	16,213	3	composition at correct dosage	1	5	5	-16.8662	-25.0470	8.1808	116,213	116,213
HG00290	268,431	0	composition at correct dosage	1	1	1	0.0000	0.0000	0.0000	268,431	268,431
HG00280	29,93	0	composition at correct dosage	1	1	1	0.0000	0.0000	0.0000	29,93	29,93
HG00235	18,106	0	composition at correct dosage	1	1	1	0.0000	0.0000	0.0000	18,106	18,106
HG00232	18,21	0	composition at correct dosage	1	1	1	0.0000	0.0000	0.0000	18,21	18,21
HG00133	120,435	0	composition at correct dosage	1	1	1	0.0000	0.0000	0.0000	120,435	120,435
