sample	certified_pair	comparison_pair	offline_sum_dll	binary_probe_delta	implied_rho	class	n_markers	sum_dll	n_clumps_negative	top1_clump_share_pct	top5_clump_share_pct
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t>0 c=0 r>0	32	-1113.408	9	28.6	77.8
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t>0 both>0	1132	408.654	17	22.8	71.5
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t=0 c>0 r=0	47	-531.430	8	14.9	70.2
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t=0 c=0 r>0	4	45.228	0	NA	NA
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t=0 both>0	0	0.000	0	NA	NA
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t>0 c=r	848	0.000	0	NA	NA
HG00146	314,358	14,427	-1190.956	-65.1946	0.054741	t=0 c=r	6687	0.000	0	NA	NA
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t>0 c=0 r>0	28	-1214.023	8	25.9	84.4
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t>0 both>0	912	294.709	12	20.7	78.1
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t=0 c>0 r=0	16	-260.218	3	60.6	100.0
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t=0 c=0 r>0	23	262.022	0	NA	NA
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t=0 both>0	0	0.000	0	NA	NA
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t>0 c=r	1257	0.000	0	NA	NA
HG00344	6,424	115,432	-917.510	-50.1822	0.054694	t=0 c=r	6522	0.000	0	NA	NA
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t>0 c=0 r>0	50	-2354.307	10	24.4	69.3
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t>0 c>0 r=0	6	212.527	0	NA	NA
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t>0 both>0	967	105.354	14	29.2	72.1
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t=0 c>0 r=0	70	-893.908	13	17.0	59.0
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t=0 c=0 r>0	20	221.950	0	NA	NA
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t=0 both>0	1	-10.644	1	100.0	100.0
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t>0 c=r	1237	0.000	0	NA	NA
HG00140	235,300	57,181	-2719.027	-148.9492	0.054780	t=0 c=r	6393	0.000	0	NA	NA
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t>0 c=0 r>0	4	-142.541	1	100.0	100.0
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t>0 both>0	865	151.587	5	62.0	100.0
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t=0 c>0 r=0	15	-175.246	4	26.7	100.0
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t=0 c=0 r>0	4	46.732	0	NA	NA
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t=0 both>0	0	0.000	0	NA	NA
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t>0 c=r	1143	0.000	0	NA	NA
HG00350	0,113	16,113	-119.468	-6.5386	0.054731	t=0 c=r	6721	0.000	0	NA	NA
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t>0 c=0 r>0	31	-1259.872	6	29.6	97.2
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t>0 both>0	252	-408.549	25	22.6	58.9
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t=0 c>0 r=0	18	-207.549	3	44.4	100.0
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t=0 c=0 r>0	30	345.915	0	NA	NA
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t=0 both>0	8	-92.244	1	100.0	100.0
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t>0 c=r	1811	0.000	0	NA	NA
HG00329	25,438	150,376	-1622.299	-89.0230	0.054875	t=0 c=r	6579	0.000	0	NA	NA
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t>0 c=0 r>0	5	-393.014	1	100.0	100.0
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t>0 both>0	850	110.572	4	74.4	100.0
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t=0 c>0 r=0	4	-45.675	2	75.0	100.0
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t=0 c=0 r>0	5	57.094	0	NA	NA
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t=0 both>0	0	0.000	0	NA	NA
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t>0 c=r	1251	0.000	0	NA	NA
HG00321	26,79	26,376	-271.023	-14.8236	0.054695	t=0 c=r	6643	0.000	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t>0 c=0 r>0	0	0.000	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t>0 both>0	886	-325.929	15	34.1	89.0
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t=0 c>0 r=0	41	-477.757	7	22.0	85.4
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t=0 c=0 r>0	13	151.484	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t=0 both>0	0	0.000	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t>0 c=r	1392	0.000	0	NA	NA
HG00128	0,196	0,95	-652.202	-35.6862	0.054717	t=0 c=r	6422	0.000	0	NA	NA
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t>0 c=0 r>0	13	-1211.025	4	40.8	100.0
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t>0 both>0	854	46.266	6	48.4	97.6
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t=0 c>0 r=0	4	-46.051	2	50.0	100.0
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t=0 c=0 r>0	6	69.076	0	NA	NA
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t=0 both>0	10	-109.845	2	80.0	100.0
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t>0 c=r	1029	0.000	0	NA	NA
HG00099	2,213	25,213	-1251.579	-68.5080	0.054737	t=0 c=r	6835	0.000	0	NA	NA
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t>0 c=0 r>0	28	-1421.535	5	34.9	100.0
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t>0 both>0	911	-89.395	14	20.5	79.0
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t=0 c>0 r=0	14	-162.480	3	57.1	100.0
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t=0 c=0 r>0	9	104.451	0	NA	NA
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t=0 both>0	0	0.000	0	NA	NA
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t>0 c=r	1056	0.000	0	NA	NA
HG00253	19,313	19,324	-1568.959	-85.7612	0.054661	t=0 c=r	6745	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t>0 c=0 r>0	0	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t>0 both>0	885	-31.873	10	25.2	88.5
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t=0 c>0 r=0	0	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t=0 c=0 r>0	0	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t=0 both>0	0	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t>0 c=r	1035	0.000	0	NA	NA
HG00320	18,429	18,419	-31.873	-1.7470	0.054812	t=0 c=r	6819	0.000	0	NA	NA
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t>0 c=0 r>0	17	-605.413	4	29.4	100.0
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t>0 both>0	871	-1.945	15	22.7	61.4
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t=0 c>0 r=0	16	-182.737	3	43.8	100.0
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t=0 c=0 r>0	8	91.368	0	NA	NA
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t=0 both>0	0	0.000	0	NA	NA
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t>0 c=r	1342	0.000	0	NA	NA
HG00272	17,68	0,426	-698.727	-38.2540	0.054748	t=0 c=r	6495	0.000	0	NA	NA
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t>0 c=0 r>0	21	-743.855	3	42.9	100.0
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t>0 c>0 r=0	0	0.000	0	NA	NA
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t>0 both>0	1113	-554.771	35	16.6	50.2
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t=0 c>0 r=0	32	-395.711	8	20.0	80.0
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t=0 c=0 r>0	0	0.000	0	NA	NA
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t=0 both>0	0	0.000	0	NA	NA
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t>0 c=r	851	0.000	0	NA	NA
HG01167	71,320	71,123	-1694.337	-92.4427	0.054560	t=0 c=r	6744	0.000	0	NA	NA
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t>0 c=0 r>0	7	-458.162	2	61.2	100.0
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t>0 both>0	176	-98.366	19	27.6	74.1
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t=0 c>0 r=0	13	-150.297	3	38.5	100.0
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t=0 c=0 r>0	5	57.807	0	NA	NA
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t=0 both>0	0	0.000	0	NA	NA
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t>0 c=r	1755	0.000	0	NA	NA
HG00323	71,107	67,107	-649.019	-35.5373	0.054755	t=0 c=r	6792	0.000	0	NA	NA
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t>0 c=0 r>0	15	-527.310	4	40.0	100.0
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t>0 both>0	81	53.203	6	64.7	99.7
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t=0 c>0 r=0	5	-59.876	1	100.0	100.0
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t=0 c=0 r>0	0	0.000	0	NA	NA
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t=0 both>0	0	0.000	0	NA	NA
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t>0 c=r	2078	0.000	0	NA	NA
HG00126	36,85	85,432	-533.984	-29.1885	0.054662	t=0 c=r	6584	0.000	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t>0 c=0 r>0	12	-427.428	2	66.7	100.0
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t>0 c>0 r=0	0	0.000	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t>0 both>0	116	49.554	7	63.8	95.9
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t=0 c>0 r=0	0	0.000	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t=0 c=0 r>0	6	69.916	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t=0 both>0	0	0.000	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t>0 c=r	1824	0.000	0	NA	NA
HG00097	16,213	116,213	-307.958	-16.8662	0.054768	t=0 c=r	6788	0.000	0	NA	NA
