sample	arm	tau	certified_pair	certified_total_edits	selected_pair	selected_total_edits	certified_excess	rank_of_certified	n_tied_top
NA19043	S1	NA	1,203	27755	321,412	61015	33260	19	1
NA19043	S3	0.5	1,203	27755	187,203	72132	44377	71	4
NA19043	S3	1.0	1,203	27755	203,412	33292	5537	68	1
NA19043	S3	2.0	1,203	27755	187,203	72132	44377	83	2
NA19043	S3	5.0	1,203	27755	203,270	94330	66575	17	1
NA19043	S3	10.0	1,203	27755	203,395	66571	38816	24	1
NA19043	S3	20.0	1,203	27755	203,395	66571	38816	44	1
NA19043	S2	inf	1,203	27755	1,187	33289	5534	2	1
NA18943	S1	NA	180,392	232	163,296	33395	33163	294	1
NA18943	S3	0.5	180,392	232	104,270	22402	22170	4701	2
NA18943	S3	1.0	180,392	232	104,270	22402	22170	5288	2
NA18943	S3	2.0	180,392	232	104,270	22402	22170	6731	2
NA18943	S3	5.0	180,392	232	104,270	22402	22170	10957	1
NA18943	S3	10.0	180,392	232	104,270	22402	22170	14651	1
NA18943	S3	20.0	180,392	232	148,270	27950	27718	18371	1
NA18943	S2	inf	180,392	232	296,375	27840	27608	6513	1
HG03470	S1	NA	107,244	382	202,243	11197	10815	256	1
HG03470	S3	0.5	107,244	382	202,243	11197	10815	2558	1
HG03470	S3	1.0	107,244	382	202,243	11197	10815	2546	1
HG03470	S3	2.0	107,244	382	202,243	11197	10815	2582	1
HG03470	S3	5.0	107,244	382	202,243	11197	10815	2514	1
HG03470	S3	10.0	107,244	382	202,243	11197	10815	2429	1
HG03470	S3	20.0	107,244	382	243,416	5816	5434	2224	1
HG03470	S2	inf	107,244	382	202,243	11197	10815	1127	1
NA18974	S1	NA	224,388	409	86,374	16840	16431	20337	1
NA18974	S3	0.5	224,388	409	234,349	17413	17004	49631	2
NA18974	S3	1.0	224,388	409	270,349	11970	11561	50302	1
NA18974	S3	2.0	224,388	409	270,349	11970	11561	50024	1
NA18974	S3	5.0	224,388	409	270,349	11970	11561	50936	1
NA18974	S3	10.0	224,388	409	234,349	17413	17004	54804	1
NA18974	S3	20.0	224,388	409	85,234	38932	38523	61164	1
NA18974	S2	inf	224,388	409	86,298	16831	16422	26107	1
NA20346	S1	NA	275,421	151	275,338	11114	10963	9	1
NA20346	S3	0.5	275,421	151	275,338	11114	10963	27	1
NA20346	S3	1.0	275,421	151	275,338	11114	10963	31	1
NA20346	S3	2.0	275,421	151	275,338	11114	10963	37	1
NA20346	S3	5.0	275,421	151	275,338	11114	10963	49	1
NA20346	S3	10.0	275,421	151	275,338	11114	10963	73	1
NA20346	S3	20.0	275,421	151	275,338	11114	10963	81	1
NA20346	S2	inf	275,421	151	275,338	11114	10963	28	1
NA20905	S1	NA	237,388	193	107,381	11236	11043	2178	1
NA20905	S3	0.5	237,388	193	115,183	38858	38665	13284	3
NA20905	S3	1.0	237,388	193	115,183	38858	38665	14056	3
NA20905	S3	2.0	237,388	193	115,183	38858	38665	14291	2
NA20905	S3	5.0	237,388	193	115,389	22332	22139	11193	1
NA20905	S3	10.0	237,388	193	73,389	22336	22143	9969	1
NA20905	S3	20.0	237,388	193	107,381	11236	11043	8578	1
NA20905	S2	inf	237,388	193	107,381	11236	11043	3594	1
NA20806	S1	NA	10,85	220	10,389	5810	5590	4	1
NA20806	S3	0.5	10,85	220	64,441	99870	99650	25	1
NA20806	S3	1.0	10,85	220	64,441	99870	99650	33	1
NA20806	S3	2.0	10,85	220	64,441	99870	99650	31	1
NA20806	S3	5.0	10,85	220	64,441	99870	99650	27	1
NA20806	S3	10.0	10,85	220	10,64	88868	88648	23	1
NA20806	S3	20.0	10,85	220	10,450	66681	66461	11	1
NA20806	S2	inf	10,85	220	10,389	5810	5590	2	1
NA18570	S1	NA	67,385	203	162,380	38835	38632	141	1
NA18570	S3	0.5	67,385	203	149,331	66672	66469	635	4
NA18570	S3	1.0	67,385	203	85,450	16798	16595	568	1
NA18570	S3	2.0	67,385	203	366,387	33437	33234	706	1
NA18570	S3	5.0	67,385	203	366,387	33437	33234	979	1
NA18570	S3	10.0	67,385	203	302,366	33406	33203	1430	2
NA18570	S3	20.0	67,385	203	85,116	11335	11132	2563	1
NA18570	S2	inf	67,385	203	162,380	38835	38632	597	1
NA21102	S1	NA	71,452	339	148,452	698	359	2	1
NA21102	S3	0.5	71,452	339	71,452	339	0	1	3
NA21102	S3	1.0	71,452	339	71,452	339	0	1	3
NA21102	S3	2.0	71,452	339	71,452	339	0	1	3
NA21102	S3	5.0	71,452	339	71,452	339	0	1	3
NA21102	S3	10.0	71,452	339	71,452	339	0	1	3
NA21102	S3	20.0	71,452	339	71,452	339	0	1	1
NA21102	S2	inf	71,452	339	148,452	698	359	2	1
NA18505	S1	NA	180,207	1194	339,358	22330	21136	4666	1
NA18505	S3	0.5	180,207	1194	285,339	50865	49671	902	1
NA18505	S3	1.0	180,207	1194	285,339	50865	49671	1001	1
